Donnée;Sync VDM;Label VDM;tagname VDM;Commentaire VDM;exemple de format;"exemple ""vide""";remarque coté UNITY;Utilisé par VDM/DMS o/n?;commentaire JULIA;Colonne1
modificationDate;NON;;;L'information de dates de modfication dans la DF enregistré en DB;"""modificationDate"": ""10/01/2023""";Toujours définie;-;à vérifier;règle des 10 jours, commen font ils côté vdm;
artetEssai;NON;;;"Nous n'avons pas connaissance de cette métadonnée.
Celle-ci n'est pas renvoyée par UNITY";"""artetEssai"": 0";Toujours définie;Quid de remplacer (0/1/null) par un Boolean (null/true/false) ?;OUI;sans règle de gestion;
imdbId;OUI;Imdb Id;imdbId;;"""imdbId"": ""tt0036317""";null;-;OUI;avec règle;/ avec règle aussi côté UNITY : imdb obligatoire à la création de l'œuvre TT------ : vérifier avec vdm et dms ce qu'ils font. Ils empechent aussi les doublons. Me donner un exemple de film avec ça.
cboId;NON;;;Nous n'avons pas connaissance de cette métadonnée.;"""cboId"": ""29094""";null;-;à vérifier;;
ratio;OUI;Title Original Picture Format;titleOriginalPictureFormat;Donnée obligatoire pour les qualifications et commandes,;"""ratio"": ""2.39"",";null;-;OUI;avec règle + qualif;
visaDate;NON;;;;"""visaDate"": ""18/06/2021""";null;-;à vérifier;;changé en date visa d'exploitation cnc
visa;OUI;VISA Id;visaId;;"""visa"": 150973";"""visa"": -1";Quid de remplacer -1 par null ?;OUI;sans règle de gestion;changement dans UNITY : jusqu'ici sais côté legal. immatriculationRCA. Vérifier si c'est michel qui le saisit. Règle de gestion à intégrer côté VDM/DMS pour conserver le terme VISA
patrimony;NON;;;Nous n'avons pas connaissance de cette métadonnée.;"""patrimony"": true";null;-;à vérifier;;
highestGrade;NON;;;Nous n'avons pas connaissance de cette métadonnée.;"""highestGrade"": ""B""";null;-;à vérifier;;
localSalesGrade;NON;;;;"""localSalesGrade"": {
    ""grade"": {
      ""france"":""B"",
      ""uk"":""C"",
      ""germany"":""E"",
      ""international"":""D""

    },""tv"": {
      ""france"":""B"",
      ""uk"":""D"",
      ""germany"":""E"",
      ""international"":""D""

    },""video"": {
      ""france"":""B"",
      ""uk"":""C"",
      ""germany"":""E""
    }
  }";null;-;à vérifier;;
relatedWorks;OUI;Related TItle Id;relatedTitleId;Affiche dans le front dans un menu déroulant du bandeau principal;"""relatedWorks"": [
    ""035319""
  ]";null;-;OUI;avec règle;qualification du lien entre les œuvres - peut être IDTYPEOEUVRELIEE à vérifier côté sylvie. Pourrait être ajouté
keywords;OUI;Title Tags;titleTags;La donnée n'était pas affichée sur la page Title. Elle est maintenant en bas de la section Summary;"""keywords"": {
    ""en"":[""Paris"",""Mafia"",""Bandit""],
    ""de"":[""Paris"",""Mafia"",""Bandit""]
  }";null;"+ Quid de corriger l'incohérence des traductions envoyées par rapport au nom de la donnée ?
 + Quid d'ajouter la traduction française ?";OUI;sans règle de gestion / oui il faut ajouter traduction FR;chantier mots clés +++ à faire. Voir pour envoyer que les ID.
copyright;NON;;;;"""copyright"": {
    ""text"": ""© 2020""
  },";null;"Quid de supprimer la mention de l'imbrication : ""copyright"": ""© 2020"" ?";OUI;sans règle de gestion / pas possible de supprimer;sylvie regarder pour sa quesiton.
productionYear;OUI;Production Date;productionDate;Donnée obligatoire pour les qualifications et commandes;"""productionYear"": {
      ""fr"": ""1944"",
      ""en"": ""1944""
    }";"    ""productionYear"": {
      ""fr"": ""Non Défini"",
      ""en"": ""Undefined""
    },";"Quid de changer la structure de l'envoi de cette donnée : envoyer l'année et remplacer le ""Non défini"" (et sa traduction) par ""null"" ?";OUI;avec règle /  qu'est-ce qui doit etre changé @sylvie? / à vérifier pour territoires dans dms;"liste déroulant de 1880 à 2030. à changer. Label langue inutile. S'appelle désormais ""YEAR"" > à changer dans le json. Decision à prendre quand il n'y a pas d'année. Film avec une année en undefined."
